rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
101,680777,Ryan Jeffers,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,2,Shane Baz,669358,R,45.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",39.0,40.3,27.1,95.5,50.0,21.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.45,40.49,89.09,100.8221,0.4315,0.1794,0.3495,72.93,35.35,37.04,27.4,9.7,0.1877,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
102,607208,Trea Turner,PHI,STL,2026-08-12T18:15:00Z,Scheduled,2,Kyle Leahy,681517,R,45.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",28.0,54.3,22.1,95.5,50.0,40.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,40.84,88.74,99.4511,0.3883,0.1309,0.3063,71.52,19.14,35.31,24.99,16.4,0.1516,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
103,683357,Owen Caissie,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,6,Carmen Mlodzinski,669387,R,45.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.8,40.8,21.5,71.7,80.0,1.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.21,37.57,89.96,100.3102,0.3796,0.1748,0.281,74.81,54.02,30.83,30.83,8.7,0.1855,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
104,608324,Alex Bregman,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,4,Jackson Kent,800600,L,45.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.3,41.2,28.2,90.4,78.0,67.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.06,39.71,88.77,98.3528,0.3815,0.1348,0.3188,70.16,4.94,47.0,26.18,14.5,0.1526,,,,,,,,,Nationals Park,
105,702284,Cole Young,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,1,Will Warren,701542,R,45.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.5,47.2,38.2,88.7,80.0,6.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.18,36.91,88.51,99.1055,0.3984,0.1366,0.3201,71.51,21.65,41.98,27.01,11.0,0.1283,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
106,669016,Brandon Marsh,PHI,STL,2026-08-12T18:15:00Z,Scheduled,7,Kyle Leahy,681517,R,45.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.3,54.3,22.1,59.8,80.0,13.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.33,45.77,90.12,100.3341,0.4236,0.1606,0.3174,71.54,15.86,38.26,26.31,14.5,0.1623,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
107,681198,TJ Rumfield,COL,AZ,2026-08-12T19:40:00Z,Scheduled,3,Merrill Kelly,518876,R,45.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.0,65.4,28.2,92.1,80.0,22.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.6,27.4,84.0,96.1147,0.379,0.123,0.32,68.7,8.0,42.3,28.3,13.0,0.161,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
108,682848,Endy Rodriguez,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,7,Janson Junk,676083,R,45.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.9,43.3,21.5,59.8,75.0,62.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.9% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,8.2,46.17,92.34,100.3363,0.3691,0.14,0.3113,72.34,22.69,46.21,33.36,4.9,0.1631,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
109,681082,Bryson Stott,PHI,STL,2026-08-12T18:15:00Z,Scheduled,6,Kyle Leahy,681517,R,44.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",27.4,54.3,22.1,71.7,80.0,45.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,0,Contact streak: 10/22 over last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.08,37.27,89.07,98.7136,0.4063,0.1404,0.3291,69.79,6.82,35.22,27.94,9.5,0.148,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
110,681624,Andy Pages,LAD,KC,2026-08-13T02:10:00Z,Scheduled,2,Daniel Lynch IV,663738,L,44.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.5,25.7,27.6,95.5,78.0,40.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.98,41.05,88.95,99.8521,0.4343,0.1693,0.3314,72.78,26.33,37.97,28.72,21.4,0.1862,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
111,592885,Christian Yelich,MIL,SD,2026-08-12T20:10:00Z,Scheduled,5,Robbie Ray,592662,L,44.6,Longshot,Watch List,Projected Lineup,36.7,47.4,22.6,81.9,50.0,36.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.67,42.97,89.01,100.8281,0.3928,0.1639,0.309,73.09,31.55,33.75,19.23,14.3,0.1572,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
112,800050,Chase DeLauter,CLE,DET,2026-08-12T22:40:00Z,Scheduled,3,Framber Valdez,664285,L,44.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",36.7,35.3,27.6,92.1,50.0,48.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,46.6,91.3,101.6636,0.436,0.159,0.35,71.3,17.8,38.2,19.4,13.0,0.162,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
113,694208,Moises Ballesteros,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,6,Cal Quantrill,615698,R,44.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.0,48.5,28.2,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.38,43.03,90.01,100.9769,0.3972,0.1485,0.3172,72.92,36.09,33.94,19.53,4.8,0.1438,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
114,803011,Sam Antonacci,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,1,Rhett Lowder,695076,R,44.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.2,50.6,27.6,88.7,80.0,19.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,0,"Last 7 games: 5/20, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.1,35.7,87.6,98.076,0.411,0.13,0.349,70.1,8.6,34.2,21.7,8.0,0.131,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
115,805999,A.J. Ewing,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,1,Tyler Mahle,641816,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.6,37.0,30.9,88.7,80.0,9.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.5,43.7,89.7,100.5384,0.4,0.142,0.321,70.3,11.1,32.9,24.9,7.0,0.134,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
116,572233,Christian Walker,HOU,SF,2026-08-12T19:45:00Z,Scheduled,5,,,,44.3,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.2,41.2,19.3,81.9,60.0,14.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.38,43.02,89.85,101.5333,0.4014,0.1736,0.3084,74.31,43.55,42.76,28.42,23.5,0.204,,,,,,,,,Oracle Park,
117,805808,Kevin McGonigle,DET,CLE,2026-08-12T22:40:00Z,Scheduled,3,Foster Griffin,656492,L,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",30.9,42.9,27.6,92.1,50.0,45.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,1,"Last 7 games: 9/30, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 21.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,6.7,36.4,87.9,98.1562,0.424,0.161,0.351,71.2,16.8,37.6,35.8,12.0,0.143,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
118,663616,Trevor Larnach,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,1,Shane Baz,669358,R,44.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",30.1,40.3,27.1,88.7,80.0,19.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.48,38.84,88.38,99.6087,0.4016,0.146,0.3278,72.03,21.64,42.41,24.19,12.1,0.1603,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
119,682626,Francisco Alvarez,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,9,Tyler Mahle,641816,R,44.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",56.5,37.0,30.9,40.2,50.0,37.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.39,47.3,91.0,102.796,0.4545,0.2143,0.3407,74.11,42.6,39.78,24.89,12.4,0.1854,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
120,691720,Kyle Karros,COL,AZ,2026-08-12T19:40:00Z,Scheduled,6,Merrill Kelly,518876,R,43.9,Longshot,Watch List,Projected Lineup,24.6,65.4,28.2,71.7,50.0,26.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","same-side matchup; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.9,39.23,89.16,99.6388,0.3621,0.1208,0.3147,69.87,5.3,39.57,23.85,7.3,0.1266,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
121,671732,Lawrence Butler,ATH,TB,2026-08-12T19:05:00Z,Scheduled,5,Drew Rasmussen,656876,R,43.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.7,29.4,30.9,81.9,80.0,47.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.73,44.75,89.73,101.7336,0.3699,0.1374,0.3054,73.7,38.51,35.52,22.28,11.9,0.1371,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
122,665489,Vladimir Guerrero,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,2,Ranger Suarez,624133,L,43.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.9,18.0,30.4,95.5,78.0,27.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","platoon edge; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.56,45.66,90.67,103.0591,0.4318,0.1451,0.349,76.35,63.82,36.23,19.03,11.8,0.119,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
123,672960,Kazuma Okamoto,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,5,Ranger Suarez,624133,L,43.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",48.5,18.0,30.4,81.9,78.0,7.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","platoon edge; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.5,43.8,90.3,101.4731,0.408,0.199,0.304,73.2,35.8,50.5,33.1,24.0,0.204,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
124,608070,Jose Ramirez,CLE,DET,2026-08-12T22:40:00Z,Scheduled,2,Framber Valdez,664285,L,43.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",30.7,33.9,27.6,95.5,75.0,21.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","switch hitter; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.81,40.36,89.18,99.6868,0.4327,0.1508,0.3469,70.27,13.61,50.62,30.11,16.0,0.1696,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
125,806146,George Lombard,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,7,Bryce Miller,682243,R,43.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",39.1,37.3,38.2,59.8,50.0,61.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,6,21,2,Hot streak: 2 HR in last 6 games,"same-side matchup; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.3,40.0,86.5,99.0799,0.437,0.154,0.359,72.2,25.5,33.3,20.0,2.0,0.285,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
126,592663,J.T. Realmuto,PHI,STL,2026-08-12T18:15:00Z,Scheduled,5,Kyle Leahy,681517,R,43.4,Longshot,Watch List,Projected Lineup,31.4,54.3,22.1,81.9,50.0,14.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.0,42.14,89.86,100.2359,0.3977,0.1405,0.3202,72.91,32.78,41.32,25.59,9.2,0.1277,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
127,662139,Daulton Varsho,HOU,SF,2026-08-12T19:45:00Z,Scheduled,4,,,,43.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.1,41.2,19.3,90.4,60.0,19.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.18,38.34,87.52,99.502,0.4016,0.1683,0.3046,73.78,36.95,42.41,29.94,11.6,0.1847,,,,,,,,,Oracle Park,
128,650402,Gleyber Torres,DET,CLE,2026-08-12T22:40:00Z,Scheduled,1,Foster Griffin,656492,L,43.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",24.7,42.9,27.6,88.7,78.0,26.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.57,33.75,87.13,97.5616,0.3899,0.144,0.3343,68.63,5.47,25.08,27.66,9.7,0.1275,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
129,701358,Cam Smith,HOU,SF,2026-08-12T19:45:00Z,Scheduled,9,,,,42.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",42.8,41.2,19.3,40.2,60.0,100.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,3,Hot streak: 3 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.26,44.09,89.09,101.7165,0.4187,0.1753,0.3215,76.67,68.11,37.35,25.0,13.9,0.157,,,,,,,,,Oracle Park,
130,666182,Bo Bichette,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,3,Tyler Mahle,641816,R,42.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",31.0,37.0,30.9,92.1,50.0,35.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,0,Contact streak: 10/28 over last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.5,42.85,89.81,100.9935,0.4254,0.144,0.3299,69.73,13.23,27.05,22.6,13.1,0.1307,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
131,642715,Willy Adames,SF,HOU,2026-08-12T19:45:00Z,Scheduled,3,Bryan King,687911,L,42.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.9,24.9,19.3,92.1,78.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.66,39.65,87.71,99.0103,0.3944,0.1753,0.2997,72.21,24.04,47.91,34.55,22.3,0.1918,5.87,36.73,87.56,0.372,0.1294,20.12,,,Oracle Park,
132,669224,Austin Wells,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,9,Bryce Miller,682243,R,42.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",37.9,37.3,38.2,40.2,80.0,52.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,1,Contact streak: 7/20 over last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.03,44.01,89.69,100.6132,0.3801,0.1654,0.2982,72.98,27.53,45.89,33.42,11.9,0.1512,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
133,665750,Leody Taveras,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,6,Zebby Matthews,805673,R,42.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",18.9,54.7,27.1,71.7,75.0,47.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","switch hitter; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.21,32.19,87.94,98.8577,0.3237,0.1138,0.2663,72.32,23.9,33.37,24.03,5.1,0.1228,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
134,678545,Osleivis Basabe,SF,HOU,2026-08-12T19:45:00Z,Scheduled,5,Bryan King,687911,L,42.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",40.2,24.9,19.3,81.9,78.0,39.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 7.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.1,32.4,87.3,99.307,0.439,0.176,0.304,73.3,27.0,41.2,41.2,3.0,0.256,5.87,36.73,87.56,0.372,0.1294,20.12,,,Oracle Park,
135,668939,Adley Rutschman,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,5,José Soriano,667755,R,42.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.1,35.1,30.4,81.9,75.0,9.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","switch hitter; pitcher baseline 7.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.15,40.7,89.26,99.5151,0.4219,0.1599,0.3404,70.56,13.05,38.75,28.38,8.3,0.1698,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
