rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
174,701675,Nathan Church,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,7,Colin Rea,607067,R,42.1,Longshot,Watch List,Platoon Edge,18.0,54.2,41.6,64.3,80.0,14.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 17.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.76,35.13,86.9,98.1232,0.3385,0.1172,0.2701,69.77,8.55,34.64,19.01,5.9,0.1151,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
175,807712,Luke Keaschall,MIN,KC,2026-07-28T23:40:00Z,Pre-Game,7,Seth Lugo,607625,R,41.8,Longshot,Watch List,No major boost,9.9,60.0,67.6,64.3,50.0,10.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","same-side matchup; pitcher baseline 9.9% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.59,29.17,85.08,96.5914,0.3451,0.1055,0.3072,68.58,7.59,37.49,26.34,4.0,0.1017,9.91,44.71,90.7,0.4793,0.2079,30.3,Out To CF,89,Target Field,
176,668942,Josh Rojas,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,9,Taj Bradley,671737,R,41.6,Longshot,Watch List,Platoon Edge,12.8,48.9,67.6,44.8,80.0,40.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.8,37.29,85.96,97.1685,0.3071,0.0988,0.242,67.87,1.59,28.12,32.32,1.3,0.1098,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
177,689414,Liam Hicks,MIA,PHI,2026-07-28T22:40:00Z,Pre-Game,5,Aaron Nola,605400,R,41.5,Longshot,Watch List,Platoon Edge,9.7,51.0,35.0,86.4,80.0,30.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","platoon edge; pitcher baseline 10.0% barrel, 22.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.88,29.66,85.02,96.6192,0.3507,0.1032,0.3115,68.03,3.86,42.94,23.8,11.6,0.141,10.01,41.34,88.84,0.4282,0.1808,28.02,None,72,loanDepot park,
178,641598,Mitch Garver,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,7,Justin Wrobleski,680736,L,41.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.1,37.9,27.6,59.8,78.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 7.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.04,48.09,90.87,100.7087,0.3493,0.1497,0.298,72.29,18.04,49.72,35.03,5.5,0.1263,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
179,663968,Jake Mangum,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,1,Brandon Pfaadt,694297,R,41.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",4.4,46.0,51.8,93.2,75.0,27.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,0,"Last 7 games: 9/30, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.79,27.66,85.41,96.2383,0.3276,0.0731,0.2802,67.3,3.76,28.14,14.09,2.3,0.0685,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
180,805367,Chase Meidroth,CWS,NYY,2026-07-28T23:40:00Z,Pre-Game,8,Gerrit Cole,543037,R,41.4,Longshot,Watch List,Good Environment,12.5,51.0,71.6,52.4,50.0,50.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.49,35.4,88.06,97.4547,0.3295,0.0905,0.2923,67.05,1.11,37.49,19.56,7.1,0.0999,10.7,43.1,90.1,0.391,0.154,32.8,Out To RF,72,Rate Field,
181,699393,Pedro Ramirez,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,8,Michael McGreevy,700241,R,41.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.1,53.4,41.6,47.9,75.0,45.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,0,Contact streak: 11/25 over last 7 games,"switch hitter; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.9,41.4,89.4,99.6533,0.364,0.094,0.299,72.1,20.3,31.4,20.0,1.0,0.146,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
182,592885,Christian Yelich,MIL,SF,2026-07-29T01:45:00Z,Scheduled,1,Landen Roupp,694738,R,41.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.1,19.9,19.3,88.7,80.0,31.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","platoon edge; pitcher baseline 5.5% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.67,43.67,89.43,100.9985,0.3963,0.1674,0.3118,73.26,32.1,33.96,20.42,13.6,0.1628,5.54,32.02,87.14,0.3499,0.1183,21.68,,,Oracle Park,
183,805300,Jakob Marsee,MIA,PHI,2026-07-28T22:40:00Z,Pre-Game,7,Aaron Nola,605400,R,41.1,Longshot,Watch List,Platoon Edge,18.9,51.0,35.0,64.3,80.0,23.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","platoon edge; pitcher baseline 10.0% barrel, 22.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.88,35.87,87.43,98.4289,0.3489,0.1148,0.3134,70.5,6.21,41.16,23.4,5.0,0.1223,10.01,41.34,88.84,0.4282,0.1808,28.02,None,72,loanDepot park,
184,669364,Xavier Edwards,MIA,PHI,2026-07-28T22:40:00Z,Pre-Game,4,Aaron Nola,605400,R,40.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",10.2,49.3,35.0,94.9,75.0,8.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","switch hitter; pitcher baseline 10.0% barrel, 22.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.18,28.98,86.94,96.6182,0.36,0.097,0.3111,68.02,2.54,29.85,21.91,5.1,0.0994,10.01,41.34,88.84,0.4282,0.1808,28.02,None,72,loanDepot park,
185,593428,Xander Bogaerts,SD,COL,2026-07-29T01:40:00Z,Pre-Game,9,Michael Lorenzen,547179,R,40.9,Longshot,Watch List,Projected Lineup,27.1,53.6,57.6,40.2,50.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 18.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.34,38.92,88.37,99.7852,0.3836,0.1341,0.32,72.41,27.89,44.71,23.55,9.6,0.1112,9.08,44.45,90.28,0.4671,0.1847,25.66,Out To RF,74,Petco Park,
186,655316,Andruw Monasterio,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,7,Gage Jump,695611,L,40.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.0,37.3,30.9,59.8,78.0,45.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,0,Contact streak: 9/21 over last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.68,36.92,88.12,97.9946,0.3861,0.1474,0.2982,69.24,3.25,41.25,32.88,4.7,0.1838,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
187,669134,Luis Campusano,SD,COL,2026-07-29T01:40:00Z,Pre-Game,8,Michael Lorenzen,547179,R,40.7,Longshot,Watch List,Projected Lineup,22.8,53.6,57.6,47.9,50.0,8.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 18.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.79,40.64,87.45,99.2597,0.3046,0.1134,0.2997,72.26,23.9,46.21,19.94,2.8,0.1526,9.08,44.45,90.28,0.4671,0.1847,25.66,Out To RF,74,Petco Park,
188,650559,Bryan De La Cruz,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,8,Sandy Alcantara,645261,R,40.5,Longshot,Watch List,Strong Barrel,36.1,34.8,35.0,52.4,50.0,63.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,6,8,1,Contact streak: 6/8 over last 4 games,"same-side matchup; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.76,27.2,81.98,94.2724,0.4802,0.219,0.3493,72.08,25.48,34.68,22.04,0.7,0.2691,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
189,680700,Richie Palacios,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,7,Cal Quantrill,615698,R,40.4,Longshot,Watch List,Platoon Edge,13.9,51.2,41.1,64.3,80.0,24.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.57,31.5,87.03,96.6558,0.3653,0.0997,0.3222,68.87,3.24,34.78,20.21,3.1,0.112,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
190,691026,Masyn Winn,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,6,Colin Rea,607067,R,40.4,Longshot,Watch List,No major boost,15.3,54.2,41.6,76.2,50.0,18.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 10.4% barrel, 17.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.68,35.44,88.16,98.7494,0.3372,0.0867,0.2986,71.1,15.48,32.04,20.97,5.5,0.0883,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
191,608070,Jose Ramirez,CLE,CIN,2026-07-28T23:10:00Z,Scheduled,2,Caleb Ferguson,657571,L,40.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.6,11.8,39.3,95.5,75.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","switch hitter; pitcher baseline 4.3% barrel, 2.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.44,40.43,89.32,99.8584,0.4376,0.1585,0.3462,70.27,13.33,49.29,30.39,16.0,0.1843,4.32,31.62,85.71,0.3507,0.1116,17.74,,,Great American Ball Park,
192,642715,Willy Adames,SF,MIL,2026-07-29T01:45:00Z,Scheduled,6,Logan Henderson,701656,R,40.3,Longshot,Watch List,"Projected Lineup, Strong Barrel",39.9,34.1,19.3,71.7,50.0,31.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 4.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.22,40.63,88.34,99.1942,0.4028,0.183,0.3011,72.31,24.21,48.26,34.83,21.6,0.2016,8.6,35.46,88.1,0.359,0.14,30.65,,,Oracle Park,
193,802415,Chandler Simpson,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,5,Cal Quantrill,615698,R,40.1,Longshot,Watch List,Platoon Edge,0.2,51.2,41.1,86.4,80.0,45.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,24,0,Contact streak: 12/24 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,14.99,83.88,93.0468,0.3087,0.0382,0.2767,64.76,0.37,26.87,12.58,0.0,0.0591,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
194,800050,Chase DeLauter,CLE,CIN,2026-07-28T23:10:00Z,Scheduled,3,Caleb Ferguson,657571,L,39.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.8,12.0,39.3,92.1,50.0,33.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"same-side matchup; pitcher baseline 4.3% barrel, 2.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,45.4,91.1,101.5859,0.435,0.157,0.346,71.4,18.3,38.2,20.5,11.0,0.165,4.32,31.62,85.71,0.3507,0.1116,17.74,,,Great American Ball Park,
195,700932,Kyle Manzardo,CLE,CIN,2026-07-28T23:10:00Z,Scheduled,6,Caleb Ferguson,657571,L,39.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.7,12.0,39.3,71.7,50.0,56.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed; order MLB 6 vs RotoWire 7,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 4.3% barrel, 2.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.31,41.49,89.67,99.1247,0.3884,0.171,0.3045,70.04,6.95,42.15,33.83,15.8,0.1706,4.32,31.62,85.71,0.3507,0.1116,17.74,,,Great American Ball Park,
196,571448,Nolan Arenado,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,6,Bubba Chandler,696149,R,39.6,Longshot,Watch List,No major boost,19.8,35.5,51.8,76.2,50.0,31.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","same-side matchup; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.24,32.88,85.68,97.1732,0.3639,0.1234,0.2988,71.4,16.13,44.06,27.23,13.4,0.1666,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
197,514888,Jose Altuve,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,4,Reid Detmers,672282,L,39.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",16.0,36.9,28.2,90.4,78.0,30.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,1,"Last 7 games: 6/30, 1 HR","platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.85,32.3,85.52,97.2892,0.3483,0.1218,0.2832,69.0,9.53,44.45,22.72,16.2,0.1658,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
198,665966,Carlos Narvaez,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,9,Gage Jump,695611,L,39.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.9,37.3,30.9,40.2,78.0,40.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,1,"Last 7 games: 4/15, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.77,39.84,91.31,100.3817,0.3537,0.141,0.2811,71.95,19.66,32.16,29.82,6.6,0.1178,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
199,663538,Nico Hoerner,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,6,Michael McGreevy,700241,R,39.4,Longshot,Watch List,Projected Lineup,8.6,54.9,41.6,71.7,50.0,53.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,1,Contact streak: 11/31 over last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.28,28.9,86.28,96.2852,0.377,0.0829,0.3227,68.36,1.76,33.64,21.35,5.6,0.0956,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
200,669003,Garrett Mitchell,MIL,SF,2026-07-29T01:45:00Z,Scheduled,7,Landen Roupp,694738,R,39.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.1,19.9,19.3,59.8,80.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,0,"Last 7 games: 2/22, 0 HR","platoon edge; pitcher baseline 5.5% barrel, 8.9 HR allowed",EV profile; pitcher fly-ball pressure modest,11.88,47.31,92.01,103.4104,0.4215,0.1708,0.3328,77.01,75.97,33.72,18.74,5.6,0.1475,5.54,32.02,87.14,0.3499,0.1183,21.68,,,Oracle Park,
201,673237,Yainer Diaz,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,6,Reid Detmers,672282,L,39.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.8,36.9,28.2,71.7,78.0,6.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.38,35.55,88.36,99.3148,0.4104,0.148,0.305,72.41,20.96,36.07,19.73,10.2,0.1484,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
202,641680,Jonah Heim,ATH,BOS,2026-07-29T01:40:00Z,Scheduled,4,Jake Bennett,687562,L,39.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.8,24.5,30.9,90.4,75.0,27.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","switch hitter; pitcher baseline 5.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.73,32.61,87.54,97.9471,0.3733,0.1438,0.29,69.98,10.43,40.28,27.76,10.3,0.1778,5.7,36.9,87.4,0.369,0.137,24.4,,,Sutter Health Park,
203,814439,Ryan Waldschmidt,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,9,Bubba Chandler,696149,R,39.0,Longshot,Watch List,No major boost,27.9,35.5,51.8,44.8,50.0,54.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,36.3,87.8,98.6804,0.369,0.13,0.286,72.3,18.5,35.2,30.8,1.0,0.12,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
204,691011,Drew Romo,CWS,NYY,2026-07-28T23:40:00Z,Pre-Game,9,Gerrit Cole,543037,R,39.0,Longshot,Watch List,"Good Environment, Platoon Edge",10.0,49.8,71.6,44.8,75.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","switch hitter; pitcher baseline 10.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.7,25.8,83.4,95.1555,0.2016,0.077,0.1771,68.56,3.57,37.1,33.7,3.5,0.1162,10.7,43.1,90.1,0.391,0.154,32.8,Out To RF,72,Rate Field,
205,595879,Javier Báez,DET,BAL,2026-07-28T22:40:00Z,Pre-Game,9,Dean Kremer,665152,R,38.8,Longshot,Watch List,Good Environment,13.9,47.3,73.1,44.8,50.0,22.8,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","same-side matchup; pitcher baseline 9.0% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.89,31.99,85.75,97.0535,0.3601,0.101,0.2868,72.8,26.21,41.06,21.49,5.0,0.141,8.98,34.61,87.4,0.4606,0.2156,34.77,Out To RF,75,Comerica Park,
206,624641,Edmundo Sosa,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,6,Sandy Alcantara,645261,R,38.8,Longshot,Watch List,No major boost,29.8,34.8,35.0,76.2,50.0,4.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.65,40.59,87.7,99.9314,0.4309,0.1586,0.3187,72.3,25.85,41.52,19.68,6.8,0.151,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
207,678662,Ezequiel Tovar,COL,SD,2026-07-29T01:40:00Z,Pre-Game,9,Michael King,650633,R,38.7,Longshot,Watch List,No major boost,28.5,40.6,57.6,44.8,50.0,2.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","same-side matchup; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.27,34.7,87.93,98.9257,0.3829,0.1527,0.2854,72.02,20.92,37.26,29.85,8.3,0.1295,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
208,647304,Josh Naylor,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,5,Justin Wrobleski,680736,L,38.7,Longshot,Watch List,Projected Lineup,24.2,37.9,27.6,81.9,50.0,30.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 7.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.3,37.98,88.08,99.1513,0.4059,0.1331,0.3252,70.44,11.53,41.57,23.06,11.6,0.118,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
